TiePointId,MunicipalityName,TiePointName,LPCSNorthing,LPCSEasting,PPCSNorthing,PPCSEasting,PRSNorthing,PRSEasting
5299,ECHAGUE,"CAD 210, BLLM # 28",12845.69,17215.64,,,,
5301,ECHAGUE,"CAD 210, BLLM # 3",22749.58,19817.35,,,,
5302,ECHAGUE,"CAD 210, BLLM # 30",12019.68,20820,,,,
5303,ECHAGUE,"CAD 210, BLLM # 31",13865.87,20932.7,,,,
5304,ECHAGUE,"CAD 210, BLLM # 34",16596.87,22906.3,,,,
5305,ECHAGUE,"CAD 210, BLLM # 4",23910.91,18200.33,,,,
5306,ECHAGUE,"CAD 210, BLLM # 5",25261.56,18079.31,,,,
5307,ECHAGUE,"CAD 210, BLLM # 6",26318.97,16148.97,,,,
5308,ECHAGUE,"CAD 210, BLLM # 7",24726.25,16664.79,,,,
5309,ECHAGUE,"CAD 210, BLLM # 9",21804.25,16316.13,,,,
5310,ECHAGUE,"CAD 210, MBM # 1",27969.24,9311.36,,,,
5312,ECHAGUE,"CAD 210, MBM # 11",23798.76,21729.61,,,,
5313,ECHAGUE,"CAD 210, MBM # 12",23308.23,22861.33,,,,
5314,ECHAGUE,"CAD 210, MBM # 16",21204.45,25725.65,,,,
5315,ECHAGUE,"CAD 210, MBM # 2",28037.41,11115.49,,,,
5316,ECHAGUE,"CAD 210, MBM # 21",4795.04,17231.49,,,,
5317,ECHAGUE,"CAD 210, MBM # 22",3319.23,13160.24,,,,
5318,ECHAGUE,"CAD 210, MBM # 23",4819.72,11969.89,,,,
5319,ECHAGUE,"CAD 210, MBM # 25",9148.83,12071.2,,,,
5320,ECHAGUE,"CAD 210, MBM # 28",19012.55,12969.13,,,,
5321,ECHAGUE,"CAD 210, MBM # 29",20730.57,12210.63,,,,
5322,ECHAGUE,"CAD 210, MBM # 3",28063.19,12672.34,,,,
5323,ECHAGUE,"CAD 210, MBM # 30",22486.02,11566.98,,,,
5324,ECHAGUE,"CAD 210, MBM # 31",24266.39,10663.07,,,,
5325,ECHAGUE,"CAD 210, MBM # 32",25953.61,9993.93,,,,
5326,ECHAGUE,"CAD 210, MBM # 4",28184.8,14183.64,,,,
5327,ECHAGUE,"CAD 210, MBM # 5",27948.5,15681.41,,,,
5328,ALICIA,"CAD 210, MBM # 7",27146.26,18730.16,,,,
5329,ECHAGUE,"CAD 210, MBM # 8",26812.9,19604.47,,,,
5330,ECHAGUE,"CAD 210, MBM # 9",27137.81,20221.41,,,,
5351,SANTIAGO CITY,"CAD 211, BLLM # 103",34376.8,22710.28,,,,
5352,SANTIAGO CITY,"CAD 211, MBM # 10",18130.26,35564.16,,,,
5354,SANTIAGO CITY,"CAD 211, MBM # 12",14810.46,36695.8,,,,
5355,SANTIAGO CITY,"CAD 211, MBM # 13",13353.58,35709.49,,,,
5356,SANTIAGO CITY,"CAD 211, MBM # 14",10635,33813.03,,,,
5357,SANTIAGO CITY,"CAD 211, MBM # 15",467.79,27489.03,,,,
5358,SANTIAGO CITY,"CAD 211, MBM # 16",8528.9,7151.89,,,,
5359,SANTIAGO CITY,"CAD 211, MBM # 17",25366.73,13838.48,,,,
5360,SANTIAGO CITY,"CAD 211, MBM # 2",37448.98,33517.34,,,,
5361,SANTIAGO CITY,"CAD 211, MBM # 20",44951.44,37842.81,,,,
5362,SANTIAGO CITY,"CAD 211, MBM # 23",53851.15,33475.55,,,,
5363,SANTIAGO CITY,"CAD 211, MBM # 24",53412.37,35460.21,,,,
5364,SANTIAGO CITY,"CAD 211, MBM # 25",52837.14,38062.19,,,,
5365,SANTIAGO CITY,"CAD 211, MBM # 26",52586.74,39194.69,,,,
5366,SANTIAGO CITY,"CAD 211, MBM # 27",52095.39,41417.18,,,,
5367,SANTIAGO CITY,"CAD 211, MBM # 28",51919.99,42205.03,,,,
5368,SANTIAGO CITY,"CAD 211, MBM # 29",46486.89,39173.82,,,,
5370,SANTIAGO CITY,"CAD 211, MBM # 30",44951.41,37842.81,,,,
5371,SANTIAGO CITY,"CAD 211, MBM # 31",42944.37,36045.78,,,,
5372,SANTIAGO CITY,"CAD 211, MBM # 32",41204.3,34435.95,,,,
5373,SANTIAGO CITY,"CAD 211, MBM # 4",33982.22,35092.23,,,,
5374,SANTIAGO CITY,"CAD 211, MBM # 5",32226.93,35736.94,,,,
5375,SANTIAGO CITY,"CAD 211, MBM # 6",30509.28,36496.45,,,,
5376,SANTIAGO CITY,"CAD 211, BLLM # 11",32215.58,31934.64,,,,
5377,SANTIAGO CITY,"CAD 211, BLLM # 110",18065.61,30076.12,,,,
5378,SANTIAGO CITY,"CAD 211, BLLM # 111",17930.49,30040.68,,,,
5379,SANTIAGO CITY,"CAD 211, BLLM # 112",14093,33921.6,,,,
5380,SANTIAGO CITY,"CAD 211, BLLM # 113",14009.05,34030.46,,,,
5381,SANTIAGO CITY,"CAD 211, BLLM # 114",13666.28,31376.81,,,,
5382,SANTIAGO CITY,"CAD 211, BLLM # 115",13515.47,31380.19,,,,
5383,SANTIAGO CITY,"CAD 211, BLLM # 116",11619.04,29649.51,,,,
5384,SANTIAGO CITY,"CAD 211, BLLM # 117",11544.17,29441.42,,,,
5386,SANTIAGO CITY,"CAD 211, BLLM # 119",49348.27,36615.67,,,,
5387,SANTIAGO CITY,"CAD 211, BLLM # 12",32197.5,33809.68,,,,
5388,SANTIAGO CITY,"CAD 211, BLLM # 104",34435.22,21054.81,,,,
5389,SANTIAGO CITY,"CAD 211, BLLM # 105",34604.65,20640.91,,,,
5390,SANTIAGO CITY,"CAD 211, BLLM # 106",16815.38,24874.67,,,,
5391,SANTIAGO CITY,"CAD 211, BLLM # 107",16225.51,24791.4,,,,
5392,SANTIAGO CITY,"CAD 211, BLLM # 120",52563.68,32402.65,,,,
5394,SANTIAGO CITY,"CAD 211, BLLM # 122",44804.98,27341.52,,,,
5395,SANTIAGO CITY,"CAD 211, BLLM # 123",44911.6,27325.55,,,,
5396,SANTIAGO CITY,"CAD 211, BLLM # 13",32192.18,34415.35,,,,
5397,SANTIAGO CITY,"CAD 211, BLLM # 14",38897.6,30282.42,,,,
5398,SANTIAGO CITY,"CAD 211, BLLM # 15",34342.44,29168.24,,,,
5399,SANTIAGO CITY,"CAD 211, BLLM # 16",34342.67,29560.45,,,,
5400,SANTIAGO CITY,"CAD 211, BLLM # 17",34342.88,31423.84,,,,
5401,SANTIAGO CITY,"CAD 211, BLLM # 18",34342.87,31928.33,,,,
5402,SANTIAGO CITY,"CAD 211, BLLM # 19",34338.6,33781.54,,,,
5403,SANTIAGO CITY,"CAD 211, BLLM # 2",29946.29,29940.8,,,,
5404,SANTIAGO CITY,"CAD 211, BLLM # 20",36460.47,29440.4,,,,
5405,SANTIAGO CITY,"CAD 211, BLLM # 21",36460.23,29786.15,,,,
5406,SANTIAGO CITY,"CAD 211, BLLM # 22",36383.67,31556.88,,,,
5407,SANTIAGO CITY,"CAD 211, BLLM # 23",36400.26,32106.23,,,,
5408,SANTIAGO CITY,"CAD 211, BLLM # 24",36646.41,33685.55,,,,
5409,SANTIAGO CITY,"CAD 211, BLLM # 25",48181.46,30150.94,,,,
5410,SANTIAGO CITY,"CAD 211, BLLM # 26",47244.95,29058.22,,,,
5411,SANTIAGO CITY,"CAD 211, BLLM # 27",47284.83,29428.16,,,,
5412,SANTIAGO CITY,"CAD 211, BLLM # 28",47276.33,30682.7,,,,
5413,SANTIAGO CITY,"CAD 211, BLLM # 29",47286.13,30931.91,,,,
5414,SANTIAGO CITY,"CAD 211, BLLM # 3",27939.26,21064.53,,,,
5415,SANTIAGO CITY,"CAD 211, BLLM # 30",46654.59,27766.14,,,,
5416,SANTIAGO CITY,"CAD 211, BLLM # 31",46313.07,33042.55,,,,
5417,SANTIAGO CITY,"CAD 211, BLLM # 32",45297.05,25385.62,,,,
5418,SANTIAGO CITY,"CAD 211, BLLM # 33",45503.6,26381.31,,,,
5420,SANTIAGO CITY,"CAD 211, BLLM # 35",45487.97,28821.08,,,,
5422,SANTIAGO CITY,"CAD 211, BLLM # 37",45483.52,30508.64,,,,
5423,SANTIAGO CITY,"CAD 211, BLLM # 38",45474.96,30820.09,,,,
5424,SANTIAGO CITY,"CAD 211, BLLM # 39",45465.29,32335.1,,,,
5425,SANTIAGO CITY,"CAD 211, BLLM # 4",27893.52,20963.09,,,,
5427,SANTIAGO CITY,"CAD 211, BLLM # 41",43759.67,23430.81,,,,
5428,SANTIAGO CITY,"CAD 211, BLLM # 42",43772.95,24803.41,,,,
5429,SANTIAGO CITY,"CAD 211, BLLM # 43",43741.87,25339.44,,,,
5430,SANTIAGO CITY,"CAD 211, BLLM # 44",43805.5,26672.54,,,,
