POINT,NORTH,EAST,ELEV,DESC
1327,1981286.127,569603.872,48.5604,tp
1328,1981283.493,569608.6359,48.3352,tp
1329,1981282.755,569605.3298,47.9201,tp
1330,1981282.476,569600.8144,47.5764,tp
1331,1981281.923,569597.2156,47.9334,tp
1332,1981286.179,569600.1598,48.5634,tp
1333,1981285.559,569595.682,48.7718,tp
1334,1981282.307,569595.1723,48.0687,tp
1335,1981309.587,569590.8914,54.1908,tp
1336,1981309.302,569587.652,54.0787,tp
1337,1981308.355,569583.5978,54.0205,tp
1338,1981307.347,569580.6904,53.7123,tp
1339,1981304.508,569579.8438,52.4784,tp
1340,1981308.966,569576.8106,53.4565,tp
1341,1981309.799,569574.0211,52.4045,tp
1342,1981312.456,569572.5857,52.8819,tp
1343,1981313.389,569575.7117,53.9107,tp
1344,1981314.089,569579.0028,55.2051,tp
1345,1981314.086,569582.4199,55.1203,tp
1346,1981314.486,569585.523,55.1606,tp
1347,1981317.938,569584.8598,55.6388,tp
1348,1981315.721,569589.2394,55.2748,tp
1349,1981321.38,569593.0476,56.1902,tp
1350,1981318.16,569595.441,55.7448,tp
1351,1981314.563,569598.1321,55.4417,tp
1352,1981324.727,569594.6941,56.7537,tp
1353,1981329.268,569595.9907,57.3635,tp
1354,1981320.963,569582.3983,55.8029,tp
1355,1981320.088,569579.4945,55.5313,tp
1356,1981323.92,569582.3737,55.889,tp
1357,1981324.332,569577.449,54.601,tp
1358,1981320.676,569575.7489,53.6742,tp
1359,1981319.742,569572.5257,52.7574,tp
1360,1981316.547,569572.0673,53.1098,tp
1361,1981320.599,569569.3593,52.238,tp
1362,1981323.878,569566.8802,51.6071,tp
1363,1981326.124,569563.1865,50.6817,tp
1364,1981329.415,569561.3442,49.8963,tp
1365,1981333.66,569563.6891,50.4541,tree
1366,1981335.989,569564.8955,50.6508,tree
1367,1981334.296,569568.3791,51.3874,tp
1368,1981331.11,569566.5474,51.1619,tp
1369,1981328.344,569569.1268,51.5275,tp
1370,1981331.066,569571.757,52.5349,tp
1371,1981329.023,569574.8571,53.4854,tp
1372,1981325.564,569572.9419,52.5606,tp
1373,1981327.676,569578.4825,54.9586,tp
1374,1981331.083,569580.0691,55.2312,tp
1375,1981333.509,569582.7995,55.7948,tp
1376,1981335.8,569586.142,56.3802,tp
1377,1981338.114,569589.2644,56.7707,tp
1378,1981341.498,569591.0188,57.0319,tree
1379,1981344.553,569588.541,57.0933,tp
1380,1981342.281,569584.9695,56.1918,tp
1381,1981345.811,569582.2225,56.0517,tp
1382,1981349.392,569585.6248,57.2284,tp
1383,1981346.9,569580.3742,55.8116,tp
1384,1981343.604,569578.0252,55.2569,tp
1385,1981340.912,569575.8978,54.3775,tp
1386,1981341.256,569573.0544,53.066,tp
1387,1981343.443,569570.499,52.0828,tree
1388,1981348.443,569570.6907,52.7318,tree
1389,1981352.376,569570.3621,52.7871,tree
1390,1981353.685,569566.54,51.6586,tree
1391,1981358.655,569567.3443,52.0738,tree
1392,1981359.114,569570.297,53.2646,tree
1393,1981361.718,569570.2648,53.373,tree
1394,1981362.961,569567.4356,52.4848,tree
1395,1981361.734,569573.5809,55.0737,tp
1396,1981357.791,569575.4864,55.2298,tp
1397,1981354.256,569576.7846,55.2822,tp
1398,1981360.918,569579.7569,56.9793,tp
1399,1981355.64,569580.0784,56.4876,tp
1400,1981351.581,569579.7953,55.9804,tp
1401,1981249.718,569642.9201,42.1937,sc
1402,1981250.436,569627.1502,42.5151,sc
1403,1981251.404,569642.1351,42.6429,cp
1404,1981401.793,569487.6522,70.918,bm2
1405,1981406.266,569479.488,72.7021,gate
1406,1981404.227,569474.7089,72.6303,gate
1407,1981401.156,569473.0413,71.6299,g house
1408,1981396.295,569472.1699,71.5483,g house
1409,1981398.536,569470.6634,71.9492,g house
1410,1981388.729,569463.6352,71.5095,g house
1411,1981392.289,569460.116,71.6745,g house
1412,1981383.155,569473.1481,71.5671,m house
1413,1981377.972,569466.6734,71.9843,m house
1414,1981380.558,569463.971,71.6018,m house
1415,1981376.224,569459.0284,71.5066,m house
1416,1981378.01,569457.4203,71.5073,m house
1417,1981376.816,569455.7483,71.8845,m house
1418,1981377.428,569454.8011,71.5472,m house
1419,1981374.09,569451.0829,71.5513,m house
1420,1981373.163,569451.6427,71.7267,m house
1421,1981370.952,569449.6994,71.2757,m house
1422,1981379.131,569442.1461,71.5041,m house
1423,1981382.652,569448.9903,71.4555,gate
1424,1981380.492,569446.5842,71.5085,gate
1425,1981368.626,569430.3818,71.7517,m house
1426,1981369.086,569429.7018,71.6053,m house
1427,1981365.203,569425.1062,71.3763,m house
1428,1981363.752,569423.9926,72.5689,m house
1429,1981359.872,569427.4236,71.6198,m house
1430,1981371.573,569442.814,71.8275,m house
1431,1981374.561,569446.2137,71.5262,m house
1432,1981376.026,569444.9176,71.5348,m house
1433,1981363.636,569449.423,72.0606,m house
1434,1981353.075,569436.1446,69.357,tp
1435,1981351.818,569434.809,69.1807,tp
1436,1981354.34,569432.5954,71.2785,tp
1437,1981355.434,569433.9609,71.2676,tp
1438,1981361.344,569445.4172,69.2862,tp
1439,1981360.28,569446.5607,69.2304,tp
1440,1981364.038,569447.9742,71.5121,tp
1441,1981362.809,569448.8493,71.4809,tp
1442,1981351.783,569437.3516,69.1931,m house
1443,1981346.835,569441.7895,68.2576,m house
1444,1981345.417,569443.0817,68.1574,tp
1445,1981344.912,569443.4863,67.0138,tp
1446,1981360.334,569456.6565,68.4581,m house
1447,1981356.921,569456.9039,68.0538,tp
1448,1981357.151,569459.8322,68.152,m house
1449,1981355.939,569461.2551,68.0583,tp
1450,1981355.51,569461.5238,67.8225,tp
1451,1981360.554,569466.3218,68.0324,tp
1452,1981360.28,569466.7454,66.7272,tp
1453,1981374.342,569478.7365,68.1562,m house
1454,1981372.785,569480.465,66.431,tp
1455,1981375.159,569482.2804,68.084,tp
1456,1981375.045,569482.8505,66.7277,tp
1457,1981380.157,569477.8929,68.2565,tp
1458,1981378.767,569476.3833,68.3685,m house
1459,1981377.948,569475.5736,68.4349,m house
1460,1981380.273,569477.6581,68.0168,tp
1461,1981384.216,569474.3264,71.487,tp
1462,1981385.015,569475.3454,71.4661,tp
1463,1981384.382,569475.2511,70.7519,tp
1464,1981383.535,569478.3425,70.3369,tp
1465,1981384.009,569478.3684,71.4423,tp
1466,1981384.713,569480.9255,71.3943,tp
1467,1981384.332,569481.2605,70.2558,tp
1468,1981386.641,569482.7821,71.4065,tp
1469,1981386.499,569483.2589,70.2299,tp
1470,1981390.107,569483.4096,71.4334,tp
1471,1981393.468,569483.3615,71.419,tp
1472,1981393.514,569483.6938,70.3189,tp
1473,1981399.45,569481.7121,71.5831,tp
1474,1981399.448,569482.1664,71.4145,tp
1475,1981400.274,569484.9606,70.787,tp
1476,1981396.807,569486.2998,69.6821,tp
